id,name,author,genre,price,stock
1,LoTR,JRR Tolkien,Fantasy,30.0,500
2,1984,George Orwell,Dystopie,30.0,499
3,The Great Gatsby,F. Scott Fitzgerald,Classics,30.0,350
4,To Kill a Mockingbird,Harper Lee,Classics,25.0,400
5,The Catcher in the Rye,J.D. Salinger,Classics,30.0,350
6,Brave New World,Aldous Huxley,Dystopie,22.0,450
7,The Hobbit,JRR Tolkien,Fantasy,19.99,600
8,Fahrenheit 451,Ray Bradbury,Dystopie,19.0,320
9,Mobydick,Herman Melville,Classics,28.0,280
10,The Odyssey,Homer,Classics,24.0,330
11,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,35.0,700
12,The Chronicles of Narnia,C.S. Lewis,Fantasy,27.0,480
13,Animal Farm,George Orwell,Dystopie,12.0,290
14,The Alchemist,Paulo Coelho,Fiction,20.0,410
15,The Da Vinci Code,Dan Brown,Thriller,26.0,520
16,The Hunger Games,Suzanne Collins,Dystopie,23.0,430
17,Pride and Prejudice,Jane Austen,Classics,17.0,360
18,The Fault in Our Stars,John Green,Fiction,20.0,400
19,The Book Thief,Markus Zusak,Fiction,22.0,340
20,Dune,Frank Herbert,Science Fiction,29.0,450
21,The Handmaid's Tale,Margaret Atwood,Dystopie,24.0,310
22,The Shining,Stephen King,Horror,28.0,370
23,Dracula,Bram Stoker,Horror,19.0,300
24,Frankenstein,Mary Shelley,Horror,18.0,290
25,The Picture of Dorian Gray,Oscar Wilde,Classics,16.0,280
26,Jane Eyre,Charlotte Brontë,Classics,21.0,320
27,Wuthering Heights,Emily Brontë,Classics,20.0,300
28,The Count of Monte Cristo,Alexandre Dumas,Classics,25.0,200
29,Les Misérables,Victor Hugo,Classics,30.0,350
30,The Three Musketeers,Alexandre Dumas,Classics,22.0,230
31,Logocratie,Clément Viktorovic,Sciences Politiques,19.0,200
32,Sapiens,Yuval Noah Harari,History,25.0,500
33,L'histoire d'un Homme qui faisait que tomber,Matys Mancel,Autobiographie,999.99,20
